Agency Name,State Name [District] Latest available year,County Name [District] 2014-15,Total Number Operational Schools [Public School] 2014-15,Total Number Operational Charter Schools [Public School] 2014-15,Total Number of Public Schools [Public School] 2014-15,Agency Type [District] 2014-15,Urban-centric Locale [District] 2014-15,Agency Charter Status [District] 2014-15,Lowest Grade Offered [District] 2014-15,Highest Grade Offered [District] 2014-15,"Total Students, All Grades (Excludes AE) [District] 2014-15",Full-Time Equivalent (FTE) Teachers [District] 2014-15,Pupil/Teacher Ratio [District] 2014-15
PINE ISLAND PUBLIC SCHOOL DIST.,Minnesota,GOODHUE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,31-Town: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1248,80.9,15.43
PINE LAKE PREPARATORY,North Carolina,IREDELL COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,12th Grade,1678,101.28,16.57
PINE PLAINS CENTRAL SCHOOL DISTRICT,New York,DUTCHESS COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,941,90.12,10.44
PINE POINT PUBLIC SCHOOL DISTRICT,Minnesota,BECKER COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,8th Grade,67,10,6.7
PINE RIDGE ELEMENTARY,California,FRESNO COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,8th Grade,95,3.5,27.14
PINE RIDGE JOB CORPS,Nebraska,DAWES COUNTY,1,†,1,5-State agency providing elementary and/or secondary level instruction,42-Rural: Distant,3-All associated schools are noncharter,10th Grade,12th Grade,104,–,–
PINE RIVER AREA SCHOOLS,Michigan,OSCEOLA COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1054,54.61,19.3
PINE RIVER-BACKUS SCHOOL DISTRICT,Minnesota,CASS COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,930,72.35,12.85
PINE STRAWBERRY ELEMENTARY DISTRICT,Arizona,GILA COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,157,16,9.81
PINE TO PRAIRIE COOPERATIVE CTR.,Minnesota,RED LAKE COUNTY,1,0,1,4-Regional Education Service Agency (RESA),43-Rural: Remote,3-All associated schools are noncharter,7th Grade,12th Grade,0,0,†
PINE TREE ISD,Texas,GREGG COUNTY,8,0,8,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,4635,318.23,14.56
PINE VALLEY,New Jersey,†,0,0,†,1-Regular local school district that is NOT a component of a supervisory union,†,†,†,†,†,–,–
PINE VALLEY CENTRAL SCHOOL DISTRICT (SOUTH DAYTON),New York,CHAUTAUQUA COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,644,65.73,9.8
PINE-RICHLAND SD,Pennsylvania,ALLEGHENY COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,4595,304.5,15.09
PINEHURST SD 94,Oregon,JACKSON COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,34,2.37,14.35
PINELANDS REGIONAL SCHOOL DISTRICT,New Jersey,OCEAN COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,7th Grade,12th Grade,6,168.8,0.04
PINELLAS,Florida,PINELLAS COUNTY,174,22,185,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,2-All associated schools are charter and noncharter,Prekindergarten,12th Grade,103774,6837.01,15.18
PINER-OLIVET UNION ELEMENTARY,California,SONOMA COUNTY,5,4,5,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,2-All associated schools are charter and noncharter,Kindergarten,12th Grade,1419,61.6,23.04
PINEVILLE INDEPENDENT,Kentucky,BELL COUNTY,3,†,5,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,516,32,16.13
PINEYWOODS COMMUNITY ACADEMY,Texas,ANGELINA COUNTY,2,2,2,7-Independent Charter District,33-Town: Remote,1-All associated schools are charter schools,Prekindergarten,12th Grade,811,49.99,16.22
PINGREE-BUCHANAN 10,North Dakota,STUTSMAN COUNTY,2,†,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,137,17.42,7.86
PINKERTON ACADEMY SCHOOL DISTRICT,New Hampshire,ROCKINGHAM COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,22-Suburb: Mid-size,3-All associated schools are noncharter,9th Grade,12th Grade,0,232,0
PINNACLE ACADEMY,Ohio,CUYAHOGA COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,727,–,–
PINNACLE CANYON ACADEMY,Utah,CARBON COUNTY,1,1,1,7-Independent Charter District,33-Town: Remote,1-All associated schools are charter schools,Prekindergarten,12th Grade,516,–,–
PINNACLE CLASSICAL ACADEMY,North Carolina,CLEVELAND COUNTY,1,1,1,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,7th Grade,370,20.22,18.3
PINNACLE EDUCATION-CASA GRANDE  INC.,Arizona,PINAL COUNTY,1,1,1,7-Independent Charter District,23-Suburb: Small,1-All associated schools are charter schools,9th Grade,12th Grade,60,–,–
PINNACLE EDUCATION-KINO  INC.,Arizona,SANTA CRUZ COUNTY,1,1,1,7-Independent Charter District,33-Town: Remote,1-All associated schools are charter schools,9th Grade,12th Grade,61,–,–
PINNACLE EDUCATION-MESA  INC.,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,9th Grade,12th Grade,–,–,–
PINNACLE EDUCATION-TEMPE  INC.,Arizona,MARICOPA COUNTY,2,2,2,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,6th Grade,12th Grade,325,–,–
PINNACLE EDUCATION-WMCB  INC.,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,12-City: Mid-size,1-All associated schools are charter schools,9th Grade,12th Grade,51,–,–
PINON UNIFIED DISTRICT,Arizona,NAVAJO COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,1248,91,13.71
PIONEER,Oklahoma,GRADY COUNTY,1,0,1,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,8th Grade,394,22.92,17.19
PIONEER CAREER & TECHNOLOGY,Ohio,RICHLAND COUNTY,1,0,1,4-Regional Education Service Agency (RESA),31-Town: Fringe,3-All associated schools are noncharter,6th Grade,12th Grade,0,–,–
PIONEER CHARTER SCHOOL OF SCIENCE (DISTRICT),Massachusetts,MIDDLESEX COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,7th Grade,12th Grade,360,32.05,11.23
PIONEER CHARTER SCHOOL OF SCIENCE II (PCSS-II) (DISTRICT),Massachusetts,ESSEX COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,7th Grade,10th Grade,229,21.45,10.68
PIONEER ELEM,Montana,YELLOWSTONE COUNTY,1,†,1,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,6th Grade,65,–,–
PIONEER HIGH SCHOOL FOR THE PERFORMING ARTS,Utah,UTAH COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,9th Grade,12th Grade,352,–,–
PIONEER PREPARATORY SCHOOL,Arizona,MARICOPA COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,8th Grade,628,–,–
PIONEER REGIONAL SCHOOL CORP,Indiana,CASS COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,12th Grade,913,62,14.73
PIONEER RESA,Georgia,WHITE COUNTY,0,0,†,4-Regional Education Service Agency (RESA),13-City: Small,3-All associated schools are noncharter,†,†,–,16.9,–
PIONEER SCHOOL DISTRICT,Washington,MASON COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,8th Grade,687,48.89,14.05
PIONEER SPRINGS COMMUNITY SCHOOL,North Carolina,MECKLENBURG COUNTY,1,1,1,7-Independent Charter District,11-City: Large,1-All associated schools are charter schools,Kindergarten,3rd Grade,178,16.47,10.81
PIONEER TECHNOLOGY CENTER,Oklahoma,KAY COUNTY,0,0,†,8-Other education agencies,33-Town: Remote,†,†,†,†,–,–
PIONEER UNION ELEMENTARY,California,KINGS COUNTY,3,3,3,7-Independent Charter District,41-Rural: Fringe,1-All associated schools are charter schools,Kindergarten,8th Grade,1577,63,25.03
PIONEER UNION ELEMENTARY,California,EL DORADO COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,8th Grade,292,13.95,20.93
PIONEER UNION ELEMENTARY,California,BUTTE COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Kindergarten,8th Grade,74,3.01,24.58
PIONEER VALLEY,Massachusetts,FRANKLIN COUNTY,5,0,5,4-Regional Education Service Agency (RESA),42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,926,87.71,10.56
PIONEER VALLEY CHINESE IMMERSION CHARTER (DISTRICT),Massachusetts,HAMPSHIRE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,Kindergarten,10th Grade,389,44.86,8.67
PIONEER VALLEY PERFORMING ARTS CHARTER PUBLIC (DISTRICT),Massachusetts,HAMPSHIRE COUNTY,1,1,1,7-Independent Charter District,21-Suburb: Large,1-All associated schools are charter schools,7th Grade,12th Grade,405,39.52,10.25
PIONEER-PLEASANT VALE,Oklahoma,GARFIELD COUNTY,3,0,3,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,536,37.22,14.4
PIPER-KANSAS CITY,Kansas,WYANDOTTE COUNTY,4,0,4,1-Regular local school district that is NOT a component of a supervisory union,12-City: Mid-size,3-All associated schools are noncharter,Prekindergarten,12th Grade,2052,118.8,17.27
PIPESTONE AREA SCHOOL DISTRICT,Minnesota,PIPESTONE COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,1148,79.21,14.49
PIQUA CITY,Ohio,MIAMI COUNTY,9,0,9,1-Regular local school district that is NOT a component of a supervisory union,41-Rural: Fringe,3-All associated schools are noncharter,Prekindergarten,12th Grade,3384,–,–
PISCATAWAY TOWNSHIP SCHOOL DISTRICT,New Jersey,MIDDLESEX COUNTY,10,0,10,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,7395,533.65,13.86
PISECO COMMON SCHOOL DISTRICT,New York,HAMILTON COUNTY,0,0,†,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,†,†,†,–,0,–
PITMAN BORO SCHOOL DISTRICT,New Jersey,GLOUCESTER COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,1281,140,9.15
PITT COUNTY SCHOOLS,North Carolina,PITT COUNTY,36,0,37,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,24305,1606.19,15.13
PITTSBURG,Oklahoma,PITTSBURG COUNTY,2,0,2,1-Regular local school district that is NOT a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,135,10.98,12.3
PITTSBURG,Kansas,CRAWFORD COUNTY,6,0,6,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,3049,233,13.09
PITTSBURG ISD,Texas,CAMP COUNTY,5,0,5,1-Regular local school district that is NOT a component of a supervisory union,32-Town: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,2440,200.02,12.2
PITTSBURG SCHOOL DISTRICT,New Hampshire,COOS COUNTY,2,0,2,2-Local school district that is a component of a supervisory union,43-Rural: Remote,3-All associated schools are noncharter,Prekindergarten,12th Grade,85,17.4,4.89
PITTSBURG UNIFIED,California,CONTRA COSTA COUNTY,13,0,13,1-Regular local school district that is NOT a component of a supervisory union,21-Suburb: Large,3-All associated schools are noncharter,Kindergarten,12th Grade,10969,482.61,22.73
PITTSBURGH AVTS,Pennsylvania,ALLEGHENY COUNTY,0,0,†,4-Regional Education Service Agency (RESA),11-City: Large,†,†,†,–,–,–
PITTSBURGH SD,Pennsylvania,ALLEGHENY COUNTY,58,0,58,1-Regular local school district that is NOT a component of a supervisory union,11-City: Large,3-All associated schools are noncharter,Prekindergarten,12th Grade,24657,1854.35,13.3
PITTSBURGH-MT OLIVER IU 2,Pennsylvania,ALLEGHENY COUNTY,0,0,†,4-Regional Education Service Agency (RESA),11-City: Large,†,†,†,–,–,–
PITTSFIELD,Massachusetts,BERKSHIRE COUNTY,12,0,12,1-Regular local school district that is NOT a component of a supervisory union,13-City: Small,3-All associated schools are noncharter,Prekindergarten,12th Grade,5744,483.63,11.88
PITTSFIELD SAU OFFICE,New Hampshire,MERRIMACK COUNTY,0,0,†,3-Supervisory union administrative center (or county superintendent's office serving the same purpose),42-Rural: Distant,†,Prekindergarten,12th Grade,–,0,–
PITTSFIELD SCHOOL DISTRICT,New Hampshire,MERRIMACK COUNTY,3,0,3,2-Local school district that is a component of a supervisory union,42-Rural: Distant,3-All associated schools are noncharter,Prekindergarten,12th Grade,594,60,9.9
